date,attendence,time,weather
"Thursday, September 13, 2018","Attendance: 30,173","Day Game, on grass","Start Time Weather: 78° F, Wind 11mph in from Rightfield, Cloudy, No Precipitation."
"Thursday, September 20, 2018","Attendance: 28,358","Night Game, on grass","Start Time Weather: 79° F, Wind 9mph out to Leftfield, Cloudy, No Precipitation."
"Friday, September 21, 2018","Attendance: 37,895","Night Game, on grass","Start Time Weather: 75° F, Wind 4mph from Right to Left, Cloudy, No Precipitation."
"Saturday, September 22, 2018","Attendance: 39,372","Day Game, on grass","Start Time Weather: 76° F, Wind 13mph in from Centerfield, Cloudy, No Precipitation."
"Sunday, September 23, 2018","Attendance: 34,218","Day Game, on grass","Start Time Weather: 64° F, Wind 7mph in from Centerfield, Overcast, Rain."
"Monday, September 24, 2018","Attendance: 22,428","Night Game, on grass","Start Time Weather: 63° F, Wind 10mph in from Rightfield, Overcast, Rain."
"Tuesday, September 25, 2018","Attendance: 26,483","Night Game, on grass","Start Time Weather: 78° F, Wind 4mph out to Leftfield, Cloudy, No Precipitation."
"Wednesday, September 26, 2018","Attendance: 28,680","Day Game, on grass","Start Time Weather: 88° F, Wind 6mph from Right to Left, Cloudy, No Precipitation."
"Monday, April 3, 2017","Attendance: 42,744","Day Game, on grass","Start Time Weather: 66° F, Wind 5mph out to Rightfield."
"Wednesday, April 5, 2017","Attendance: 22,715","Night Game, on grass","Start Time Weather: 69° F, Wind 12mph out to Leftfield."
"Thursday, April 6, 2017","Attendance: 19,418","Night Game, on grass","Start Time Weather: 56° F, Wind 9mph from Left to Right."
"Monday, April 10, 2017","Attendance: 27,413","Night Game, on grass","Start Time Weather: 79° F, Wind 6mph out to Leftfield."
"Tuesday, April 11, 2017","Attendance: 30,663","Night Game, on grass","Start Time Weather: 81° F, Wind 10mph out to Leftfield, Cloudy."
"Wednesday, April 12, 2017","Attendance: 31,647","Day Game, on grass","Start Time Weather: 77° F, Wind 13mph from Left to Right, Cloudy."
"Friday, April 14, 2017","Attendance: 38,664","Day Game, on grass","Start Time Weather: 70° F, Wind 6mph from Right to Left, Sunny."
"Saturday, April 15, 2017","Attendance: 35,626","Day Game, on grass","Start Time Weather: 65° F, Wind 6mph from Left to Right, Cloudy."
"Sunday, April 16, 2017","Attendance: 29,774","Day Game, on grass","Start Time Weather: 84° F, Wind 15mph from Left to Right, Cloudy."
"Friday, April 28, 2017","Attendance: 34,562","Night Game, on grass","Start Time Weather: 83° F, Wind 10mph out to Centerfield, Cloudy."
"Saturday, April 29, 2017","Attendance: 36,501","Day Game, on grass","Start Time Weather: 84° F, Wind 11mph out to Rightfield, Cloudy."
"Sunday, April 30, 2017","Attendance: 36,806","Day Game, on grass","Start Time Weather: 84° F, Wind 7mph in from Rightfield, Overcast."
"Tuesday, May 2, 2017","Attendance: 22,826","Night Game, on grass","Start Time Weather: 75° F, Wind 11mph in from Centerfield, Cloudy."
"Wednesday, May 3, 2017","Attendance: 23,816","Night Game, on grass","Start Time Weather: 64° F, Wind 9mph in from Leftfield, Sunny."
"Thursday, May 4, 2017","Attendance: 29,496","Day Game, on grass","Start Time Weather: 66° F, Wind 15mph from Right to Left."
"Wednesday, May 10, 2017","Attendance: 32,984","Night Game, on grass","Start Time Weather: 74° F, Wind 7mph in from Rightfield, Cloudy."
"Saturday, May 13, 2017","Attendance: 31,473","Night Game, on grass","Start Time Weather: 58° F, Wind 12mph in from Leftfield."
"Tuesday, May 23, 2017","Attendance: 29,650","Night Game, on grass","Start Time Weather: 66° F, Wind 4mph in from Rightfield, Drizzle."
"Wednesday, May 24, 2017","Attendance: 29,223","Night Game, on grass","Start Time Weather: 64° F, Wind 3mph from Right to Left, Overcast."
"Thursday, May 25, 2017","Attendance: 18,881","Day Game, on grass","Start Time Weather: 67° F, Wind 8mph out to Rightfield, Cloudy."
"Friday, May 26, 2017","Attendance: 28,606","Night Game, on grass","Start Time Weather: 74° F, Wind 13mph from Left to Right, Cloudy."
"Saturday, May 27, 2017","Attendance: 37,357","Day Game, on grass","Start Time Weather: 72° F, Wind 6mph in from Rightfield, Overcast."
"Sunday, May 28, 2017","Attendance: 30,243","Day Game, on grass","Start Time Weather: 65° F, Wind 7mph out to Leftfield."
"Thursday, June 8, 2017","Attendance: 37,833","Night Game, on grass","Start Time Weather: 73° F, Wind 7mph in from Rightfield, Sunny."
"Friday, June 9, 2017","Attendance: 38,332","Night Game, on grass","Start Time Weather: 81° F, Wind 4mph from Left to Right, Cloudy."
"Saturday, June 10, 2017","Attendance: 32,157","Day Game, on grass","Start Time Weather: 79° F, Wind 2mph out to Leftfield, Sunny."
"Sunday, June 11, 2017","Attendance: 32,027","Day Game, on grass","Start Time Weather: 92° F, Wind 13mph from Right to Left, Cloudy."
"Monday, June 12, 2017","Attendance: 28,909","Night Game, on grass","Start Time Weather: 91° F, Wind 5mph out to Rightfield, Cloudy."
"Tuesday, June 13, 2017","Attendance: 31,762","Night Game, on grass","Start Time Weather: 91° F, Wind 7mph in from Rightfield, Cloudy."
"Wednesday, June 14, 2017","Attendance: 36,227","Day Game, on grass","Start Time Weather: 86° F, Wind 4mph in from Rightfield, Overcast."
"Friday, June 23, 2017","Attendance: 36,347","Night Game, on grass","Start Time Weather: 87° F, Wind 14mph out to Rightfield, Cloudy."
"Saturday, June 24, 2017","Attendance: 40,139","Day Game, on grass","Start Time Weather: 86° F, Wind 9mph from Left to Right, Cloudy."
"Sunday, June 25, 2017","Attendance: 35,387","Day Game, on grass","Start Time Weather: 84° F, Wind 13mph in from Leftfield, Cloudy."
"Monday, June 26, 2017","Attendance: 29,651","Night Game, on grass","Start Time Weather: 80° F, Wind 4mph out to Centerfield, Cloudy."
"Tuesday, June 27, 2017","Attendance: 31,202","Night Game, on grass","Start Time Weather: 79° F, Wind 3mph from Left to Right, Cloudy."
"Wednesday, June 28, 2017","Attendance: 31,072","Night Game, on grass","Start Time Weather: 80° F, Wind 8mph out to Centerfield, Cloudy."
"Thursday, June 29, 2017","Attendance: 37,097","Day Game, on grass","Start Time Weather: 89° F, Wind 4mph out to Leftfield."
"Monday, July 3, 2017","Attendance: 41,681","Night Game, on grass","Start Time Weather: 90° F, Wind 6mph out to Rightfield, Cloudy."
"Tuesday, July 4, 2017","Attendance: 37,120","Day Game, on grass","Start Time Weather: 84° F, Wind 3mph in from Centerfield."
"Thursday, July 6, 2017","Attendance: 22,724","Night Game, on grass","Start Time Weather: 75° F, Wind 8mph in from Rightfield, Cloudy."
"Friday, July 7, 2017","Attendance: 32,664","Night Game, on grass","Start Time Weather: 87° F, Wind 8mph from Left to Right, Cloudy."
"Saturday, July 8, 2017","Attendance: 38,439","Day Game, on grass","Start Time Weather: 88° F, Wind 9mph from Left to Right, Cloudy."
"Sunday, July 9, 2017","Attendance: 35,030","Day Game, on grass","Start Time Weather: 80° F, Wind 9mph from Left to Right, Sunny."
"Tuesday, July 25, 2017","Attendance: 28,428","Night Game, on grass","Start Time Weather: 79° F, Wind 10mph in from Leftfield, Cloudy."
"Wednesday, July 26, 2017","Attendance: 35,296","Night Game, on grass","Start Time Weather: 84° F, Wind 8mph out to Rightfield, Cloudy."
"Thursday, July 27, 2017","Attendance: 32,118","Day Game, on grass","Start Time Weather: 82° F, Wind 4mph out to Leftfield, Cloudy."
"Saturday, July 29, 2017","Attendance: 33,989","Night Game, on grass","Start Time Weather: 74° F, Wind 3mph from Left to Right, Overcast."
"Monday, August 7, 2017","Attendance: 21,799","Night Game, on grass","Start Time Weather: 71° F, Wind 9mph in from Rightfield."
"Tuesday, August 8, 2017","Attendance: 25,406","Night Game, on grass","Start Time Weather: 80° F, Wind 4mph in from Leftfield, Sunny."
"Wednesday, August 9, 2017","Attendance: 25,951","Night Game, on grass","Start Time Weather: 82° F, Wind 7mph from Right to Left, Cloudy."
"Thursday, August 10, 2017","Attendance: 23,904","Night Game, on grass","Start Time Weather: 81° F, Wind 3mph out to Centerfield."
"Saturday, August 12, 2017","Attendance: 32,344","Night Game, on grass","Start Time Weather: 73° F, Wind 4mph out to Rightfield, Drizzle."
"Tuesday, August 15, 2017","Attendance: 32,355","Night Game, on grass","Start Time Weather: 81° F, Wind 7mph in from Rightfield."
"Wednesday, August 16, 2017","Attendance: 30,307","Day Game, on grass","Start Time Weather: 87° F, Wind 5mph in from Leftfield, Cloudy."
"Friday, August 25, 2017","Attendance: 34,036","Night Game, on grass","Start Time Weather: 79° F, Wind 2mph from Left to Right, Cloudy."
"Saturday, August 26, 2017","Attendance: 36,761","Day Game, on grass","Start Time Weather: 77° F, Wind 4mph from Right to Left, Cloudy."
"Monday, August 28, 2017","Attendance: 20,838","Night Game, on grass","Start Time Weather: 72° F, Wind 12mph in from Rightfield."
"Tuesday, August 29, 2017","Attendance: 25,924","Night Game, on grass","Start Time Weather: 66° F, Wind 14mph in from Centerfield, Rain."
"Wednesday, August 30, 2017","Attendance: 25,019","Day Game, on grass","Start Time Weather: 78° F, Wind 3mph out to Rightfield, Cloudy."
"Thursday, September 7, 2017","Attendance: 26,267","Night Game, on grass","Start Time Weather: 70° F, Wind 9mph out to Rightfield, Sunny."
"Friday, September 8, 2017","Attendance: 29,837","Night Game, on grass","Start Time Weather: 74° F, Wind 5mph in from Leftfield, Cloudy."
"Saturday, September 9, 2017","Attendance: 35,694","Night Game, on grass","Start Time Weather: 69° F, Wind 6mph in from Leftfield, Sunny."
"Sunday, September 10, 2017","Attendance: 32,627","Day Game, on grass","Start Time Weather: 69° F, Wind 5mph in from Centerfield, Cloudy."
"Tuesday, September 12, 2017","Attendance: 22,769","Night Game, on grass","Start Time Weather: 75° F, Wind 2mph from Right to Left, Cloudy."
"Wednesday, September 13, 2017","Attendance: 24,850","Night Game, on grass","Start Time Weather: 80° F, Wind 4mph out to Leftfield, Cloudy."
"Thursday, September 14, 2017","Attendance: 25,192","Night Game, on grass","Start Time Weather: 76° F, Wind 2mph out to Rightfield."
"Friday, September 15, 2017","Attendance: 37,508","Night Game, on grass","Start Time Weather: 80° F, Wind 6mph out to Leftfield."
"Saturday, September 16, 2017","Attendance: 39,387","Day Game, on grass","Start Time Weather: 82° F, Wind 2mph from Right to Left, Cloudy."
"Sunday, September 17, 2017","Attendance: 29,155","Night Game, on grass","Start Time Weather: 78° F, Wind 4mph in from Rightfield, Sunny."
"Thursday, September 28, 2017","Attendance: 26,380","Night Game, on grass","Start Time Weather: 74° F, Wind 9mph out to Rightfield, Sunny."
"Friday, September 29, 2017","Attendance: 36,339","Night Game, on grass","Start Time Weather: 72° F, Wind 5mph out to Centerfield, Sunny."
"Saturday, September 30, 2017","Attendance: 32,240","Night Game, on grass","Start Time Weather: 63° F, Wind 5mph in from Leftfield, Cloudy."
"Thursday, April 7, 2016","Attendance: 41,650","Day Game, on grass","Start Time Weather: 61° F, Wind 11mph out to Rightfield."
"Sunday, April 10, 2016","Attendance: 24,593","Day Game, on grass","Start Time Weather: 43° F, Wind 2mph out to Leftfield, Sunny."
"Monday, April 11, 2016","Attendance: 18,119","Night Game, on grass","Start Time Weather: 72° F, Wind 10mph out to Centerfield, Sunny."
"Tuesday, April 12, 2016","Attendance: 18,378","Night Game, on grass","Start Time Weather: 61° F, Wind 14mph in from Leftfield, Sunny."
"Wednesday, April 13, 2016","Attendance: 19,400","Night Game, on grass","Start Time Weather: 56° F, Wind 0mph, Sunny."
"Thursday, April 14, 2016","Attendance: 21,144","Day Game, on grass","Start Time Weather: 63° F, Wind 1mph in from Leftfield, Sunny."
"Friday, April 22, 2016","Attendance: 27,684","Night Game, on grass","Start Time Weather: 68° F, Wind 9mph out to Centerfield, Overcast."
"Saturday, April 23, 2016","Attendance: 35,974","Day Game, on grass","Start Time Weather: 63° F, Wind 7mph out to Leftfield, Cloudy."
"Sunday, April 24, 2016","Attendance: 35,397","Day Game, on grass","Start Time Weather: 64° F, Wind 4mph out to Leftfield, Sunny."
"Tuesday, April 26, 2016","Attendance: 25,097","Night Game, on grass","Start Time Weather: 81° F, Wind 12mph out to Rightfield, Cloudy."
"Wednesday, April 27, 2016","Attendance: 24,186","Night Game, on grass","Start Time Weather: 54° F, Wind 6mph in from Rightfield, Overcast."
"Thursday, April 28, 2016","Attendance: 22,112","Day Game, on grass","Start Time Weather: 55° F, Wind 12mph in from Rightfield, Drizzle."
"Monday, May 9, 2016","Attendance: 27,153","Night Game, on grass","Start Time Weather: 63° F, Wind 6mph out to Rightfield, Overcast."
"Tuesday, May 10, 2016","Attendance: 24,476","Night Game, on grass","Start Time Weather: 63° F, Wind 8mph in from Rightfield, Cloudy."
"Wednesday, May 11, 2016","Attendance: 35,695","Night Game, on grass","Start Time Weather: 61° F, Wind 4mph in from Rightfield."
"Friday, May 13, 2016","Attendance: 28,232","Night Game, on grass","Start Time Weather: 74° F, Wind 12mph from Left to Right, Sunny."
"Sunday, May 15, 2016","Attendance: 36,786","Day Game, on grass","Start Time Weather: 59° F, Wind 21mph out to Rightfield, Cloudy."
"Monday, May 23, 2016","Attendance: 31,264","Night Game, on grass","Start Time Weather: 61° F, Wind 1mph out to Centerfield."
"Tuesday, May 24, 2016","Attendance: 33,096","Night Game, on grass","Start Time Weather: 83° F, Wind 8mph from Left to Right, Cloudy."
"Wednesday, May 25, 2016","Attendance: 38,700","Day Game, on grass","Start Time Weather: 83° F, Wind 7mph from Left to Right."
"Thursday, May 26, 2016","Attendance: 26,176","Night Game, on grass","Start Time Weather: 83° F, Wind 4mph out to Leftfield, Cloudy."
"Friday, May 27, 2016","Attendance: 30,781","Night Game, on grass","Start Time Weather: 86° F, Wind 11mph out to Leftfield, Cloudy."
"Saturday, May 28, 2016","Attendance: 38,274","Night Game, on grass","Start Time Weather: 87° F, Wind 6mph out to Centerfield, Sunny."
"Sunday, May 29, 2016","Attendance: 38,898","Day Game, on grass","Start Time Weather: 84° F, Wind 6mph out to Leftfield."
"Friday, June 10, 2016","Attendance: 37,941","Night Game, on grass","Start Time Weather: 81° F, Wind 10mph from Left to Right, Cloudy."
"Saturday, June 11, 2016","Attendance: 38,044","Day Game, on grass","Start Time Weather: 84° F, Wind 5mph out to Leftfield, Cloudy."
"Sunday, June 12, 2016","Attendance: 34,294","Day Game, on grass","Start Time Weather: 90° F, Wind 20mph in from Leftfield, Sunny."
"Monday, June 13, 2016","Attendance: 37,187","Night Game, on grass","Start Time Weather: 80° F, Wind 6mph from Left to Right, Cloudy."
"Tuesday, June 14, 2016","Attendance: 41,955","Night Game, on grass","Start Time Weather: 80° F, Wind 5mph out to Rightfield, Sunny."
"Wednesday, June 15, 2016","Attendance: 42,000","Day Game, on grass","Start Time Weather: 80° F, Wind 8mph out to Rightfield, Cloudy."
"Monday, June 27, 2016","Attendance: 33,109","Night Game, on grass","Start Time Weather: 82° F, Wind 9mph out to Leftfield, Drizzle."
"Tuesday, June 28, 2016","Attendance: 29,918","Night Game, on grass","Start Time Weather: 74° F, Wind 7mph in from Rightfield, Cloudy."
"Wednesday, June 29, 2016","Attendance: 33,386","Night Game, on grass","Start Time Weather: 80° F, Wind 7mph from Left to Right, Sunny."
"Thursday, June 30, 2016","Attendance: 29,386","Night Game, on grass","Start Time Weather: 81° F, Wind 8mph from Right to Left, Cloudy."
"Friday, July 1, 2016","Attendance: 27,631","Night Game, on grass","Start Time Weather: 78° F, Wind 8mph out to Centerfield."
"Saturday, July 2, 2016","Attendance: 35,195","Night Game, on grass","Start Time Weather: 80° F, Wind 8mph in from Leftfield, Cloudy."
"Sunday, July 3, 2016","Attendance: 37,328","Day Game, on grass","Start Time Weather: 75° F, Wind 1mph out to Leftfield."
"Monday, July 4, 2016","Attendance: 29,174","Day Game, on grass","Start Time Weather: 72° F, Wind 2mph from Right to Left, Overcast."
"Tuesday, July 5, 2016","Attendance: 25,138","Night Game, on grass","Start Time Weather: 89° F, Wind 7mph out to Rightfield, Cloudy."
"Wednesday, July 6, 2016","Attendance: 26,330","Day Game, on grass","Start Time Weather: 91° F, Wind 4mph in from Leftfield, Cloudy."
"Friday, July 15, 2016","Attendance: 36,982","Night Game, on grass","Start Time Weather: 90° F, Wind 4mph out to Rightfield, Cloudy."
"Saturday, July 16, 2016","Attendance: 38,861","Night Game, on grass","Start Time Weather: 76° F, Wind 9mph out to Leftfield."
"Sunday, July 17, 2016","Attendance: 32,775","Day Game, on grass","Start Time Weather: 87° F, Wind 4mph from Left to Right, Cloudy."
"Tuesday, July 19, 2016","Attendance: 38,747","Night Game, on grass","Start Time Weather: 86° F, Wind 4mph out to Leftfield, Cloudy."
"Wednesday, July 20, 2016","Attendance: 34,050","Night Game, on grass","Start Time Weather: 84° F, Wind 7mph in from Rightfield, Cloudy."
"Thursday, July 21, 2016","Attendance: 38,586","Day Game, on grass","Start Time Weather: 84° F, Wind 2mph out to Leftfield, Cloudy."
"Friday, July 22, 2016","Attendance: 31,618","Night Game, on grass","Start Time Weather: 90° F, Wind 14mph from Left to Right, Cloudy."
"Saturday, July 23, 2016","Attendance: 30,747","Night Game, on grass","Start Time Weather: 94° F, Wind 10mph out to Rightfield, Cloudy."
"Sunday, July 24, 2016","Attendance: 30,663","Day Game, on grass","Start Time Weather: 96° F, Wind 6mph from Right to Left, Sunny."
"Friday, August 5, 2016","Attendance: 34,036","Night Game, on grass","Start Time Weather: 80° F, Wind 10mph out to Leftfield, Cloudy."
"Saturday, August 6, 2016","Attendance: 36,404","Night Game, on grass","Start Time Weather: 84° F, Wind 10mph out to Rightfield, Cloudy."
"Sunday, August 7, 2016","Attendance: 32,790","Day Game, on grass","Start Time Weather: 87° F, Wind 5mph from Left to Right, Sunny."
"Tuesday, August 9, 2016","Attendance: 30,978","Night Game, on grass","Start Time Weather: 79° F, Wind 3mph out to Leftfield, Overcast."
"Wednesday, August 10, 2016","Attendance: 30,185","Day Game, on grass","Start Time Weather: 91° F, Wind 11mph from Right to Left."
"Friday, August 12, 2016","Attendance: 29,089","Night Game, on grass","Start Time Weather: 94° F, Wind 4mph out to Centerfield, Cloudy."
"Saturday, August 13, 2016","Attendance: 38,490","Night Game, on grass","Start Time Weather: 96° F, Wind 11mph out to Rightfield, Sunny."
"Sunday, August 14, 2016","Attendance: 29,107","Day Game, on grass","Start Time Weather: 96° F, Wind 9mph out to Rightfield, Cloudy."
